"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,Google Finance
,,,,,
expr,<< enter a symbol,,,,
,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,
"Express, Inc.",,,,,
,,,,,
Current Price,,Change,% Change,,
2.9,,0.01,0.17%,,
,,,,,
,,,,,
Market Cap,P/E Ratio,Beta,,,
194M,-,1.67,,,
,,,,,12 Months
,,,,,
,,,,,
expr,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,Open,High,Low,Close,Volume
11-Jun-21,5.13,5.39,5.11,5.29,"7,181,393"
14-Jun-21,5.28,5.5,5.01,5.1,"8,863,664"
15-Jun-21,5.09,5.1,4.58,4.71,"9,042,354"
16-Jun-21,4.68,5,4.6,4.94,"5,007,965"
17-Jun-21,4.82,4.91,4.58,4.65,"6,146,067"
18-Jun-21,4.65,4.69,4.52,4.55,"4,639,402"
21-Jun-21,4.58,4.92,4.51,4.85,"6,032,597"
22-Jun-21,4.8,5.6,4.73,5.39,"11,993,107"
23-Jun-21,5.4,5.74,5.39,5.71,"7,564,749"
24-Jun-21,5.7,5.98,5.58,5.72,"6,262,565"
25-Jun-21,5.7,8.67,5.67,7.1,"110,901,651"
28-Jun-21,7.1,7.47,6.82,6.97,"15,719,762"
29-Jun-21,6.98,6.99,6.16,6.56,"11,298,663"
30-Jun-21,6.35,6.87,6.18,6.49,"7,964,181"
1-Jul-21,6.62,7.6,6.55,6.82,"19,269,170"
2-Jul-21,6.86,6.86,6.12,6.16,"7,437,495"
6-Jul-21,6.16,6.24,5.77,5.81,"5,429,544"
7-Jul-21,5.76,5.81,5.07,5.26,"7,424,027"
8-Jul-21,5.05,5.92,5.01,5.68,"8,541,365"
9-Jul-21,5.5,5.93,5.5,5.79,"4,734,790"
12-Jul-21,5.61,5.75,5.27,5.3,"4,362,542"
13-Jul-21,5.28,5.33,5.07,5.1,"3,171,381"
14-Jul-21,5.09,5.29,4.66,4.72,"5,340,900"
15-Jul-21,4.67,4.9,4.56,4.79,"4,408,024"
16-Jul-21,4.86,5.1,4.5,4.51,"5,538,429"
19-Jul-21,4.24,4.58,4.15,4.45,"5,771,442"
20-Jul-21,4.47,4.95,4.35,4.88,"5,252,779"
21-Jul-21,4.89,5.22,4.89,5.07,"5,843,020"
22-Jul-21,5,5.05,4.72,4.79,"3,483,412"
23-Jul-21,4.87,4.91,4.53,4.55,"3,086,798"
26-Jul-21,4.52,5.49,4.52,5.37,"11,005,939"
27-Jul-21,5.23,5.3,4.99,5.02,"4,134,364"
28-Jul-21,5.1,5.26,4.8,4.81,"6,012,032"
29-Jul-21,4.88,5.01,4.72,4.8,"3,600,925"
30-Jul-21,4.79,4.99,4.66,4.69,"2,627,508"
2-Aug-21,4.73,5.33,4.71,5.18,"8,821,681"
3-Aug-21,5.25,5.26,4.9,5.14,"4,097,087"
4-Aug-21,5.09,5.23,4.69,4.77,"4,850,294"
5-Aug-21,4.83,5.23,4.74,5.04,"4,647,075"
6-Aug-21,5.08,5.72,5.05,5.5,"9,416,275"
9-Aug-21,5.46,5.8,5.33,5.72,"4,950,322"
10-Aug-21,5.72,6.38,5.68,6.31,"6,657,138"
